Ticker Symbol,Price,Percent Change,Net Change,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
MMM,189.81,+2.16%,4.02,185.79,186.83,0.00 x 100,0.00 x 100,185.00 - 190.08,181.98 - 259.77,2919609,2330795
ABT,68,+1.03%,0.69,67.31,67.77,65.57 x 800,68.88 x 800,67.22 - 68.34,53.61 - 74.15,7994440,5869910
ABBV,81.59,+0.28%,0.23,81.36,81.93,79.80 x 800,82.20 x 1800,80.13 - 82.88,80.13 - 125.86,5243107,5403700
ABMD,331.22,+3.50%,11.19,320.03,320.15,298.25 x 900,369.28 x 100,315.34 - 333.67,180.12 - 459.75,563252,621638
ACN,154.62,+1.23%,1.88,152.74,153.44,0.00 x 1000,0.00 x 800,152.31 - 154.86,141.47 - 175.64,2296448,2042916
ATVI,67.48,+3.47%,2.26,65.22,65.69,66.55 x 1000,67.00 x 800,65.34 - 67.50,57.29 - 84.68,8610357,7284990
ADBE,238.41,-0.56%,-1.34,239.75,238.99,238.60 x 800,240.59 x 100,231.71 - 242.48,165.68 - 277.61,5032179,3392624
AMD,17.2,+2.08%,0.35,16.85,16.38,17.50 x 1000,17.51 x 2900,16.17 - 17.24,9.04 - 34.14,96518393,122902366
AAP,164.97,+0.06%,0.1,164.87,165.16,0.00 x 800,168.00 x 1800,163.18 - 165.62,78.81 - 171.50,1019989,1051672
AES,14.82,+2.07%,0.3,14.52,14.52,14.39 x 47300,15.03 x 3200,14.51 - 14.85,9.87 - 15.39,7849344,6726615
AET,197.65,+1.29%,2.52,195.13,197.26,0.00 x 800,0.00 x 800,194.76 - 197.65,164.52 - 206.66,1351330,2007543
AMG,115.17,+3.37%,3.75,111.42,111.68,110.00 x 800,0.00 x 800,110.55 - 116.53,110.27 - 217.00,997668,546212
AFL,43.14,+2.03%,0.86,42.28,42.46,40.00 x 2900,44.25 x 800,42.35 - 43.15,41.41 - 48.19,4293769,2968207
A,63.64,+2.51%,1.56,62.08,62.35,0.00 x 900,75.55 x 1400,61.68 - 63.72,60.42 - 75.00,3076720,2377463
APD,153.78,+1.87%,2.82,150.96,151.06,146.66 x 3000,0.00 x 900,150.51 - 154.29,148.44 - 175.17,1774502,975267
AKAM,72.55,+16.92%,10.5,62.05,69.97,72.72 x 800,73.00 x 1200,68.57 - 73.20,51.79 - 83.08,10208004,1775904
ALK,63.24,+3.67%,2.24,61,61,60.45 x 800,64.95 x 1300,60.88 - 63.41,57.53 - 76.06,1252221,1516135
ALB,97.12,+2.06%,1.96,95.16,95,0.00 x 900,98.80 x 800,93.68 - 97.37,86.75 - 144.99,1305683,1471920
ARE,123.95,+0.62%,0.76,123.19,124.22,0.00 x 2200,0.00 x 800,121.58 - 128.35,114.00 - 134.37,864518,576321
ALXN,114.19,+1.72%,1.93,112.26,112.43,113.01 x 200,118.49 x 1000,110.03 - 114.38,102.10 - 140.77,1297421,1597510
ALGN,223.01,+2.33%,5.07,217.94,216.8,215.75 x 800,226.00 x 1400,215.00 - 225.62,203.12 - 398.88,1766691,1029450
ALLE,84.6,+3.59%,2.93,81.67,81.75,0.00 x 800,0.00 x 1100,81.75 - 84.83,73.85 - 92.87,796125,596158
AGN,160.67,-7.55%,-13.13,173.8,169.71,0.00 x 800,0.00 x 900,155.00 - 170.36,142.81 - 197.00,8440225,1828023
ADS,201.58,+0.49%,0.98,200.6,201.26,0.00 x 1000,0.00 x 900,199.25 - 204.63,192.02 - 278.33,511311,478853
LNT,43.51,+0.50%,0.22,43.29,43.53,43.29 x 1300,0.00 x 800,42.92 - 43.68,36.84 - 45.55,1974930,1377573
ALL,95.49,+2.08%,1.95,93.54,94.18,0.00 x 800,96.66 x 800,93.20 - 95.70,88.29 - 105.36,2017720,1814612
GOOGL,1049.51,+1.43%,14.78,1034.73,1020.01,"1,057.00 x 200","1,059.86 x 1200","1,013.97 - 1,050.80","984.00 - 1,291.44",2673882,1913589
GOOG,1036.21,+1.58%,16.13,1020.08,1008.46,"1,041.02 x 1200","1,047.00 x 200","1,000.75 - 1,037.45","980.64 - 1,273.89",3192129,1597692
MO,65.87,+1.98%,1.28,64.59,64.91,65.60 x 1300,65.96 x 1000,64.64 - 66.00,53.91 - 74.38,11658530,6822789
AMZN,1530.42,-0.55%,-8.46,1538.88,1486.16,"1,545.75 x 800","1,549.99 x 900","1,476.36 - 1,540.99","1,086.87 - 2,050.50",12002180,5609418
AEE,65,-0.31%,-0.2,65.2,65.54,0.00 x 800,67.25 x 1100,64.56 - 65.81,51.89 - 67.23,1481183,1585267
AAL,34.66,+6.32%,2.06,32.6,32.44,34.65 x 1000,34.79 x 800,32.33 - 34.78,30.24 - 59.08,12199205,7774561
AEP,74.29,+0.34%,0.25,74.04,74.37,74.00 x 800,0.00 x 2200,73.53 - 74.88,62.71 - 78.07,3254796,2530438
AXP,102.08,+0.88%,0.89,101.19,101.6,0.00 x 800,0.00 x 800,100.41 - 102.39,87.54 - 111.77,3778198,3094175
AIG,40.96,+2.63%,1.05,39.91,40,0.00 x 4000,0.00 x 900,39.29 - 41.04,39.29 - 65.30,22028511,5472789
AMT,160.95,+5.32%,8.13,152.82,154,150.00 x 800,0.00 x 800,150.14 - 161.71,130.37 - 161.71,5553576,1657732
AWK,90.18,+0.75%,0.67,89.51,89.93,0.00 x 4000,0.00 x 800,88.88 - 90.24,76.04 - 92.79,1011236,719855
AMP,126.6,+2.85%,3.51,123.09,124.03,0.00 x 800,175.00 x 1100,123.26 - 126.78,120.79 - 183.90,914036,878353
ABC,87.61,+1.88%,1.62,85.99,86.34,0.00 x 800,0.00 x 900,85.81 - 87.68,71.90 - 106.27,1095644,1322756
AME,66.38,+1.04%,0.68,65.7,65.51,0.00 x 800,0.00 x 800,65.19 - 66.61,64.91 - 81.92,1690796,1215833
AMGN,189.08,+0.47%,0.89,188.19,189.43,188.00 x 1000,188.75 x 800,187.03 - 190.99,163.31 - 210.19,3152338,2634773
APH,88.48,+3.53%,3.02,85.46,85.78,60.00 x 800,0.00 x 1200,85.51 - 88.71,80.42 - 97.56,3212841,1373267
APC,56.45,+1.04%,0.58,55.87,55.85,0.00 x 900,58.40 x 1100,54.67 - 56.81,46.75 - 76.70,8197477,4348246
ADI,82.8,+2.97%,2.39,80.41,80.62,82.31 x 1000,82.86 x 1100,80.42 - 82.86,76.62 - 103.59,4208216,3220398
ANSS,146.2,+1.66%,2.39,143.81,144.02,133.49 x 100,150.00 x 300,143.52 - 147.17,134.45 - 190.45,502283,533310
ANTM,265.49,+0.75%,1.97,263.52,264.34,0.00 x 800,281.91 x 900,261.60 - 267.25,199.75 - 283.06,1904065,1116826
AON,158.7,+2.26%,3.51,155.19,156.55,0.00 x 800,0.00 x 800,154.95 - 159.13,130.87 - 159.13,2344850,876500
AOS,45.72,+8.70%,3.66,42.06,40.81,42.57 x 800,0.00 x 900,40.34 - 45.85,40.34 - 68.39,6189652,1682838
APA,37.45,+3.51%,1.27,36.18,35.75,0.00 x 800,0.00 x 1400,35.75 - 37.52,33.60 - 50.03,4800562,2983836
AIV,43.74,+0.88%,0.38,43.36,43.53,0.00 x 800,0.00 x 2200,43.38 - 44.23,37.97 - 45.64,1140059,966204
